PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
"335",13,"Tyrion Davis-Price",SF,"2.0","0.0","0.0","0.0","0.0","0.0","6.8","19.8","0.0"
"336",13,"Ronald Jones II",DAL,"3.2","0.0","0.0","0.2","4.4","0.0","3.4","14.0","0.2"
"337",13,"Robbie Chosen",MIA,"4.4","0.0","0.0","1.7","23.5","0.1","0.0","0.0","0.0"
"338",13,"Melvin Gordon III",BAL,"8.7","0.0","0.0","2.5","22.3","0.0","9.0","31.8","0.2"
"339",13,"Adam Trautman",DEN,"3.4","0.0","0.0","1.4","15.9","0.1","0.0","0.0","0.0"
"340",13,"Trayveon Williams",CIN,"0.9","0.0","0.0","0.2","3.3","0.0","0.7","3.3","0.0"
"341",13,"Eddy Pineiro",CAR,"8.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"342",14,"Will Levis",TEN,"0","0","0","0","0","0","0","0","0"
"343",14,"Kyle Trask",TB,"0.9","23.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"344",14,"Colt McCoy",ARI,"8.9","195.0","0.3","0.0","0.0","0.0","3.5","9.0","0.0"
"345",14,"DeeJay Dallas",SEA,"3.1","0.0","0.0","1.1","8.4","0.0","2.3","12.4","0.0"
"346",14,"KJ Hamler",FA,"3.7","0.0","0.0","1.0","23.6","0.0","0.3","3.3","0.0"
"347",14,"Robbie Gould",FA,"8.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"348",14,"Ryan Succop",FA,"7.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"349",14,"Luke Schoonmaker",DAL,"0","0","0","0","0","0","0","0","0"
"350",14,"Robert Tonyan",CHI,"6.6","0.0","0.0","3.1","27.6","0.1","0.0","0.0","0.0"
"351",14,"Ben Skowronek",LAR,"6.0","0.0","0.0","2.8","26.9","0.0","0.1","1.2","0.1"
"352",14,"Jonnu Smith",ATL,"4.3","0.0","0.0","2.3","20.4","0.0","0.1","0.4","0.0"
"353",14,"Jauan Jennings",SF,"5.2","0.0","0.0","2.2","26.0","0.1","0.0","0.0","0.0"
"354",14,"Noah Brown",HOU,"7.2","0.0","0.0","2.7","34.7","0.2","0.0","0.0","0.0"
"355",14,"A.T. Perry",NO,"0","0","0","0","0","0","0","0","0"
"356",14,"Xavier Hutchinson",HOU,"0","0","0","0","0","0","0","0","0"
"357",14,"Trey Palmer",TB,"0","0","0","0","0","0","0","0","0"
"358",14,"Kenyan Drake",IND,"8.7","0.0","0.0","1.4","7.4","0.1","9.1","40.2","0.3"
"359",14,"Kalif Raymond",DET,"6.8","0.0","0.0","2.8","36.2","0.0","0.4","2.1","0.0"
"360",14,"Ke'Shawn Vaughn",TB,"1.1","0.0","0.0","0.3","2.1","0.0","1.9","5.9","0.0"
"361",14,"Salvon Ahmed",MIA,"2.0","0.0","0.0","0.1","1.1","0.0","1.7","9.1","0.1"
"362",14,"Calvin Austin III",PIT,"0","0","0","0","0","0","0","0","0"
"363",14,"Randall Cobb",NYJ,"6.3","0.0","0.0","2.6","32.1","0.1","0.0","0.0","0.0"
"364",14,"Foster Moreau",NO,"6.1","0.0","0.0","2.4","30.0","0.1","0.0","0.1","0.0"
"365",14,"Sam Darnold",SF,"14.9","190.5","1.2","0.0","0.0","0.0","4.3","17.7","0.3"
"366",14,"Rico Dowdle",DAL,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"367",14,"Noah Gray",KC,"4.1","0.0","0.0","1.6","17.6","0.1","0.1","0.1","0.1"
"368",14,"Myles Gaskin",MIA,"4.7","0.0","0.0","2.0","14.0","0.0","5.0","13.0","0.0"
"369",14,"Albert Okwuegbunam",DEN,"4.3","0.0","0.0","1.7","15.8","0.2","0.0","0.0","0.0"
"370",14,"Jamison Crowder",NYG,"3.0","0.0","0.0","1.5","15.0","0.0","0.0","0.0","0.0"
"371",14,"Trent Sherfield",BUF,"5.2","0.0","0.0","1.9","26.1","0.1","0.0","0.0","0.0"
"372",14,"Marquez Callaway",DEN,"3.8","0.0","0.0","1.6","15.8","0.1","0.0","0.0","0.0"
"373",14,"Tyler Scott",CHI,"0","0","0","0","0","0","0","0","0"
"374",14,"Darnell Washington",PIT,"0","0","0","0","0","0","0","0","0"
"375",14,"Jalen Tolbert",DAL,"1.1","0.0","0.0","0.7","4.0","0.0","0.0","0.0","0.0"
"376",14,"Ameer Abdullah",LV,"3.4","0.0","0.0","1.6","13.2","0.1","0.3","1.3","0.0"
"377",14,"Donald Parham Jr.",LAC,"4.8","0.0","0.0","1.7","21.7","0.2","0.0","0.0","0.0"
"378",14,"Will Dissly",SEA,"5.8","0.0","0.0","2.3","23.3","0.2","0.0","0.0","0.0"
"379",14,"Chris Moore",TEN,"7.7","0.0","0.0","3.2","36.5","0.1","0.2","0.2","0.0"
