"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"32",4,"Amari Cooper",CLE,"169","0","0","78","1160","9","0","0","0"
"33",4,"Deebo Samuel",SF,"112.4","0","0","56","632","2","42","232","3"
"34",4,"Mark Andrews",BAL,"117.5","0","0","73","847","5","3","8","0"
"35",5,"DK Metcalf",SEA,"136.8","0","0","90","1048","6","0","0","0"
"36",5,"Jahmyr Gibbs",DET,"0","0","0","0","0","0","0","0","0"
"37",5,"Calvin Ridley",JAC,"0","0","0","0","0","0","0","0","0"
"38",5,"Lamar Jackson",BAL,"243.1","2242","17","0","0","0","112","764","3"
"39",5,"Aaron Jones",GB,"189.6","0","0","59","395","5","213","1121","2"
"40",5,"Kenneth Walker III",SEA,"175.5","0","0","27","165","0","228","1050","9"
"41",5,"DJ Moore",CHI,"136.1","0","0","63","888","7","10","53","0"
"42",5,"Joe Burrow",CIN,"369","4527","36","0","0","0","76","259","5"
"43",5,"Breece Hall",NYJ,"96.1","0","0","19","218","1","80","463","4"
"44",5,"Christian Watson",GB,"123.1","0","0","41","611","7","7","80","2"
"45",5,"Justin Fields",CHI,"307","2242","17","0","0","0","160","1143","8"
"46",5,"Miles Sanders",CAR,"196.7","0","0","20","78","0","259","1269","11"
"47",5,"Keenan Allen",LAC,"98","0","0","66","752","4","1","8","0"
"48",5,"Justin Herbert",LAC,"289.3","4739","25","0","0","0","54","147","0"
"49",5,"J.K. Dobbins",BAL,"74.2","0","0","7","42","1","92","520","2"
"50",5,"Cam Akers",LAR,"128.3","0","0","13","117","0","188","786","7"
"51",5,"Dameon Pierce",HOU,"136.4","0","0","30","165","1","220","939","4"
"52",6,"Alexander Mattison",MIN,"73.4","0","0","15","91","1","74","283","5"
"53",6,"Terry McLaurin",WAS,"152","0","0","77","1191","5","7","29","0"
"54",6,"Brandon Aiyuk",SF,"149.8","0","0","78","1015","8","2","23","0"
"55",6,"DeAndre Hopkins",TEN,"87.7","0","0","64","717","3","0","0","0"
"56",6,"Drake London",ATL,"106.6","0","0","72","866","4","0","0","0"
"57",6,"Mike Williams",LAC,"113.5","0","0","63","895","4","0","0","0"
"58",6,"Jerry Jeudy",DEN,"137.2","0","0","67","972","6","4","40","0"
"59",6,"James Conner",ARI,"154.2","0","0","46","300","1","183","782","7"
"60",6,"Trevor Lawrence",JAC,"303.6","4113","25","0","0","0","62","291","5"
"61",6,"T.J. Hockenson",MIN,"129.4","0","0","86","914","6","0","0","0"
"62",6,"Tyler Lockett",SEA,"153.3","0","0","84","1033","9","0","0","0"
"63",6,"David Montgomery",DET,"143.7","0","0","34","316","1","201","801","5"
"64",6,"Mike Evans",TB,"148.4","0","0","77","1124","6","0","0","0"
"65",6,"Christian Kirk",JAC,"157.9","0","0","84","1108","8","5","11","0"
"66",6,"James Cook",BUF,"86.5","0","0","21","180","1","91","525","2"
