PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
BREECE HALL,RB,7.0,12.6,0.0,0.0,4.5,0.2,34.8,13.1,0.3,58.5,1.0,214.5,0.0,0.0,6.8,17.1,1.0,290.5,8.0,1.6,2.0,11.0,76.0,4.0,591.0,7.0,223.0,5.0,994.0,1.9,NYJ,2.0,13.0,22,24,16,1,6.5,4
BRENDEN RICE,WR,291.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,287.8,0.0,226.0,0.0,299.0,36.5,13.0,396.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,30.9,LAC,13.0,376.0,30,25,25,7,500.0,500
BREVIN JORDAN,TE,330.2,2.6,0.0,0.0,1.3,0.2,16.8,0.0,0.0,0.0,266.0,33.9,0.0,0.0,345.3,3.9,283.0,50.9,377.0,24.9,14.0,388.0,17.0,2.0,219.0,363.0,0.0,0.0,0.0,23.8,HOU,14.0,359.0,7,1,32,3,500.0,500
BRIAN ROBINSON,RB,83.4,10.8,0.0,0.0,2.4,0.3,24.5,11.9,0.3,48.9,67.0,162.1,0.0,0.0,96.4,13.2,69.0,198.1,96.0,15.5,8.0,121.0,36.0,4.0,368.0,81.0,178.0,5.0,733.0,10.9,WAS,7.0,116.0,16,9,28,1,96.5,80
BRIAN THOMAS,WR,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,115.5,0.0,63.0,0.0,117.0,22.1,9.0,175.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,19.6,JAC,8.0,168.0,32,31,21,3,112.0,134
BROCK BOWERS,TE,107.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,106.4,0.0,78.0,0.0,108.0,15.5,8.0,195.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,17.0,LV,8.0,202.0,10,18,9,1,96.5,108
BROCK PURDY,QB,76.0,19.2,1.9,267.5,0.0,0.0,0.0,2.4,0.1,9.0,58.0,306.6,31.0,4280.0,76.2,19.2,58.0,306.6,75.0,9.6,7.0,104.0,0.0,0.0,0.0,75.0,39.0,2.0,144.0,8.9,SF,7.0,103.0,1,3,4,1,98.0,96
BROCK WRIGHT,TE,353.3,1.1,0.0,0.0,0.9,0.1,6.5,0.0,0.0,0.0,341.0,15.1,0.0,0.0,353.8,2.0,344.0,28.1,468.0,14.7,16.0,379.0,13.0,1.0,91.0,481.0,0.0,0.0,0.0,15.4,DET,16.0,375.0,9,11,14,2,500.0,500
BRYCE YOUNG,QB,172.7,10.4,0.7,179.8,0.0,0.0,0.0,2.4,0.0,15.8,131.0,166.4,11.0,2877.0,175.3,10.4,129.0,166.4,163.0,35.2,10.0,275.0,0.0,0.0,0.0,162.0,39.0,0.0,253.0,33.7,CAR,10.0,275.0,5,9,6,1,185.5,196
BUFFALO BILLS,DEF,187.8,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,159.0,0.0,0.0,187.6,9.4,160.0,159.0,188.0,15.6,11.0,260.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,17.4,BUF,11.0,278.0,3,3,14,0,500.0,170
CADE OTTON,TE,181.8,4.1,0.0,0.0,2.8,0.2,26.8,0.0,0.0,0.0,137.0,69.5,0.0,0.0,172.7,6.9,123.0,116.5,161.0,26.2,10.0,235.0,47.0,4.0,455.0,167.0,0.0,0.0,0.0,25.6,TB,10.0,236.0,18,17,17,1,180.0,500
CADE STOVER,TE,339.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,342.3,0.0,291.0,0.0,378.0,21.1,14.0,371.0,0.0,0.0,0.0,378.0,0.0,0.0,0.0,17.5,HOU,14.0,361.0,7,1,32,2,500.0,500
CAIRO SANTOS,K,245.7,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,158.0,0.0,0.0,246.7,9.3,192.0,158.0,249.0,15.5,12.0,334.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,11.6,CHI,12.0,281.0,10,13,11,1,500.0,182
CALEB WILLIAMS,QB,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,95.0,0.0,58.0,0.0,92.0,16.1,8.0,138.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,15.3,CHI,8.0,138.0,4,4,12,1,101.0,121
CALVIN AUSTIN,WR,321.4,2.1,0.0,0.0,1.0,0.1,10.6,0.6,0.1,3.4,264.0,35.7,0.0,0.0,318.2,3.1,263.0,52.7,344.0,30.6,14.0,381.0,17.0,1.0,180.0,346.0,11.0,1.0,57.0,27.1,PIT,14.0,377.0,23,26,20,4,500.0,500
CALVIN RIDLEY,WR,69.9,9.1,0.0,0.0,4.5,0.5,59.8,0.5,0.0,1.4,32.0,153.9,0.0,0.0,72.2,13.5,32.0,229.9,71.0,15.5,7.0,109.0,76.0,8.0,1016.0,69.0,9.0,0.0,23.0,15.9,TEN,7.0,102.0,28,29,19,2,79.0,64
CAM AKERS,RB,311.9,5.1,0.0,0.0,1.6,0.0,10.0,8.6,0.3,23.9,259.0,35.7,0.0,0.0,316.4,6.7,265.0,46.7,322.0,21.9,13.0,377.0,11.0,0.0,70.0,323.0,60.0,2.0,167.0,19.9,HOU,13.0,361.0,2,3,21,0,500.0,500
CAM LITTLE,K,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,251.0,0.0,249.0,0.0,417.0,1.4,15.0,252.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,1.4,JAC,15.0,252.0,5,8,5,1,500.0,500
CAMERON DICKER,K,234.3,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,151.0,0.0,0.0,234.5,8.9,210.0,151.0,239.0,20.2,12.0,332.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,20.2,LAC,12.0,332.0,29,22,31,1,500.0,168
CAROLINA PANTHERS,DEF,274.6,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,71.0,0.0,0.0,319.6,4.2,277.0,71.0,418.0,52.1,15.0,416.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,46.6,CAR,15.0,332.0,32,27,27,0,500.0,500
CARSON WENTZ,QB,347.0,13.6,1.0,81.5,0.0,0.0,0.0,8.5,0.5,28.0,297.0,27.1,2.0,163.0,347.0,13.6,297.0,27.1,491.0,50.0,16.0,397.0,0.0,0.0,0.0,495.0,17.0,1.0,56.0,50.0,KC,16.0,397.0,7,5,21,2,500.0,500
CARTAVIOUS BIGSBY,RB,241.3,1.4,0.0,0.0,0.1,0.0,0.4,3.1,0.1,8.3,150.0,21.8,0.0,0.0,260.7,1.4,174.0,22.8,261.0,29.9,12.0,353.0,1.0,0.0,6.0,239.0,50.0,2.0,132.0,30.1,JAC,12.0,331.0,30,27,26,3,500.0,500
CASEY WASHINGTON,WR,344.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,320.6,0.0,302.0,0.0,419.0,19.3,15.0,350.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,24.8,ATL,15.0,378.0,20,8,29,6,500.0,500
CEDRIC TILLMAN,WR,278.4,1.7,0.0,0.0,1.5,0.0,16.0,0.1,0.0,0.6,240.0,23.2,0.0,0.0,270.6,3.2,223.0,44.2,270.0,22.4,12.0,324.0,21.0,0.0,224.0,277.0,1.0,0.0,8.0,19.1,CLE,12.0,327.0,26,18,30,6,500.0,500
CEDRICK WILSON,WR,334.9,3.2,0.0,0.0,1.5,0.2,19.7,0.0,0.0,0.0,276.0,47.6,0.0,0.0,340.3,4.6,292.0,69.6,384.0,29.5,14.0,379.0,22.0,3.0,296.0,377.0,0.0,0.0,0.0,32.4,NO,14.0,383.0,15,21,10,4,500.0,500
CEEDEE LAMB,WR,2.3,15.8,0.0,0.0,7.9,0.7,102.9,0.8,0.1,6.6,2.0,268.2,0.0,0.0,2.3,23.7,2.0,403.2,2.0,0.6,1.0,5.0,135.0,12.0,1749.0,2.0,14.0,2.0,113.0,0.7,DAL,1.0,5.0,1,1,2,1,2.0,2
CHARLIE JONES,WR,347.1,1.2,0.0,0.0,0.6,0.0,5.8,0.2,0.0,1.2,298.0,13.7,0.0,0.0,339.8,1.9,286.0,20.7,406.0,40.5,15.0,395.0,7.0,0.0,64.0,416.0,2.0,0.0,13.0,35.5,CIN,15.0,396.0,27,27,23,6,500.0,500
CHASE BROWN,RB,118.6,3.3,0.0,0.0,1.2,0.1,13.0,3.7,0.0,14.9,88.0,39.5,0.0,0.0,116.1,4.5,77.0,53.5,114.0,19.0,8.0,168.0,14.0,1.0,156.0,118.0,44.0,0.0,179.0,15.7,CIN,9.0,179.0,24,17,29,2,117.0,132
CHASE CLAYPOOL,WR,347.3,1.2,0.0,0.0,0.7,0.1,7.0,0.0,0.0,0.0,311.0,13.7,0.0,0.0,355.8,2.0,318.0,21.7,411.0,28.0,15.0,390.0,8.0,1.0,77.0,411.0,0.0,0.0,0.0,29.6,BUF,15.0,396.0,14,15,15,5,500.0,500
