PLAYER NAME,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH
TIM BOYLE,5.0,25.7,16.0,1.3,62%,0.3,1.3,0.0,1.7,3.0,120.0,14.9,77.0,48.0,4.0,62%,1.0,95.2,80,96,9.9,9,109,4.0,0.0,5.0,9.0,HOU,360.0,27,23,28,0,100,0,0,100,0,0
MAX DUGGAN,0.0,0.0,0.0,0.0,NaN%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN%,0.0,91.8,81,97,9.8,9,103,0.0,0.0,0.0,0.0,LAC,0.0,29,31,25,0,100,0,0,100,0,0
BRANDON ALLEN,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,86.3,82,98,6.1,9,95,0.0,0.0,0.0,0.0,SF,0.0,1,3,4,0,0,0,0,0,0,2
TERRENCE FRANKS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.3,84,99,5.6,9,97,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0
SAM EHLINGER,0.0,0.0,0.0,0.0,NaN%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN%,0.0,90.7,86,100,5.3,9,98,0.0,0.0,0.0,0.0,IND,0.0,26,27,16,0,100,0,0,100,0,0
SHANE BUECHELE,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,97.3,79,101,11.5,9,111,0.0,0.0,0.0,0.0,BUF,0.0,16,12,19,0,0,0,0,0,0,0
JAKE FROMM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,93.3,86,102,6.1,9,101,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0
LOGAN WOODSIDE,0.7,4.0,3.0,1.0,75%,0.0,1.0,0.0,6.0,1.0,27.0,0.7,4.0,3.0,1.0,75%,0.0,94.0,88,103,5.9,9,102,1.0,0.0,6.0,1.0,CIN,27.0,30,32,26,0,0,0,0,0,0,0
JOHN WOLFORD,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,95.7,89,104,6.2,9,104,0.0,0.0,0.0,0.0,TB,0.0,22,11,24,0,0,0,0,0,0,3
AJ MCCARRON,0.4,2.5,2.0,0.0,80%,0.0,0.0,0.0,0.0,0.5,9.5,0.8,5.0,4.0,0.0,80%,0.0,97.0,82,105,10.6,9,105,0.0,0.0,0.0,1.0,FA,19.0,33,33,33,0,100,0,0,100,0,0
BEN RAIMONDI,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,99.0,90,106,6.7,9,106,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0
CARTER BRADLEY,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,101.3,85,107,11.7,9,112,0.0,0.0,0.0,0.0,LV,0.0,21,21,14,0,0,0,0,0,0,0
BEN SINNOTT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,102.0,92,108,7.1,9,108,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,1
NATHAN PETERMAN,-0.2,0.0,0.0,0.0,NaN%,0.0,1.0,0.0,-2.0,0.5,0.0,-0.4,0.0,0.0,0.0,NaN%,0.0,103.0,98,109,4.5,9,109,2.0,0.0,-4.0,1.0,NO,0.0,11,18,8,0,100,0,0,100,0,0
