PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
Trenton Cannon,CAR,195,362,296,72.5
Equanimeous St. Brown,GB,304,359,337.6,18.8
Devonta Freeman,NO,264,385,338,42.3
Kenny Stills,BUF,240,366,338.8,23.1
Tommy Tremble,CAR,236,371,349.5,16.1
Zay Jones,LV,241,270,255.5,14.5
Ty Montgomery,NO,321,352,333,12.7
Jace Sternberger,GB,326,389,365.8,16.7
Kelvin Harmon,WAS,270,362,313.7,37.7
Jeremy McNichols,TEN,265,351,315,36.5
Tyler Kroft,NYJ,173,394,349.4,33
Willie Snead IV,LV,298,390,364,16.3
Olabisi Johnson,MIN,286,390,340,42.5
Jakeem Grant Sr.,MIA,212,357,284.5,72.5
Kahale Warring,HOU,347,384,370,11.1
Trey Burton,FA,335,383,361.3,12.4
Aldrick Rosas,JAC,309,342,327,13.6
Marquise Goodwin,CHI,229,356,292.5,63.5
Nick Boyle,BAL,299,376,346,28.8
Frank Darby,ATL,264,377,346.3,47.7
Richard Rodgers,PHI,229,391,358.2,34.4
Dion Lewis,FA,313,368,334,24.3
Richie James Jr.,SF,262,396,366.5,16.2
Marcus Mariota,LV,314,387,371.4,16.6
Stevie Scott III,NO,282,392,367.2,24.9
Chase McLaughlin,CLE,281,336,308.5,27.5
Trayveon Williams,CIN,310,377,362.6,9.7
Freddie Swain,SEA,305,384,340,32.9
Kenny Yeboah,NYJ,260,368,314,54
Andrew Jacas,SF,337,347,342,4.1
Kylen Granson,IND,361,389,372,8.7
Chris Manhertz,JAC,291,351,321,30
Nick Vannett,NO,305,374,346.7,29.9
Gary Brightwell,NYG,313,393,367.6,29
Cedrick Wilson,DAL,328,395,367.6,22
Sage Surratt,DET,296,383,349.3,38.1
Adam Shaheen,MIA,318,335,326.5,8.5
Hunter Bryant,DET,329,385,353.3,23.4
Patrick Ricard,BAL,296,368,332,36
Josh Oliver,BAL,352,391,379.7,11.2
C.J. Ham,MIN,312,357,334.5,22.5
J.J. Arcega-Whiteside,PHI,317,354,335.5,18.5
Albert Wilson,MIA,326,345,335.5,9.5
Shi Smith,CAR,315,386,356.3,30.1
Chad Beebe,MIN,357,390,369,13.6
Tajae Sharpe,ATL,314,373,343.5,29.5
Jaelon Darden,TB,343,382,362,15.9
Antonio Williams,BUF,334,366,350,16
Demetric Felton,CLE,344,360,352,8
T.J. Yeldon,FA,349,356,352.5,3.5
Braxton Berrios,NYJ,223,396,381.8,12.6
Marquez Stevenson,BUF,350,366,358,8
Geronimo Allison,DET,341,387,364,23
Josiah Deguara,GB,366,389,381,9.2
Blake Bell,KC,365,371,368,3
D'Onta Foreman,FA,369,379,374,5
Nick Foles,CHI,367,382,374.5,7.5
Isaiah Coulter,HOU,380,384,382,2
Dwayne Haskins,PIT,384,387,385.5,1.5
