PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
214,11,MILES SANDERS,CAR,144,280,215.1,29.3
215,11,ISAIAH LIKELY,BAL,137,294,220.6,34.3
216,11,CHICAGO BEARS,CHI,150,352,207.1,27.2
217,11,AJ DILLON,GB,142,312,219.7,36.4
218,11,MARKEISE IRVING,TB,149,319,220.0,35.8
219,11,EVAN MCPHERSON,CIN,175,252,218.0,13.0
220,11,JALIN HYATT,NYG,165,286,222.7,21.9
221,11,KEATON MITCHELL,BAL,156,317,224.1,35.9
222,11,DEMARCUS ROBINSON,LAR,139,295,222.3,32.4
223,11,JAVON BAKER,NE,154,311,230.3,30.7
224,11,ZAY JONES,ARI,153,271,218.2,33.0
225,11,DARIUS SLAYTON,NYG,167,295,222.1,20.4
226,11,KIMANI VIDAL,LAC,126,333,218.0,51.1
227,11,TAYSOM HILL,NO,123,351,221.2,43.9
228,11,TYLER BOYD,TEN,141,334,223.9,29.7
229,11,CLYDE EDWARDS-HELAIRE,KC,156,283,230.6,27.4
230,11,BO NIX,DEN,122,305,236.3,42.8
231,11,CAMERON DICKER,LAC,174,332,230.5,19.1
232,11,KENDRICK BOURNE,NE,165,292,231.2,24.5
233,11,MICHAEL MAYER,LV,130,352,236.9,44.0
234,11,MALACHI CORLEY,NYJ,141,322,230.3,35.1
235,12,DONTA FOREMAN,CLE,151,316,236.4,24.9
236,12,MINNESOTA VIKINGS,MIN,153,321,212.9,31.2
237,12,DRAKE MAYE,NE,140,320,242.0,37.4
238,12,MATT GAY,IND,178,306,236.0,17.9
239,12,BRAELON ALLEN,NYJ,144,322,236.4,33.6
240,12,MIKE GESICKI,CIN,172,289,241.3,27.9
241,12,RONDALE MOORE,ATL,173,308,242.9,26.0
242,12,DUSTIN HOPKINS,CLE,173,252,226.9,14.2
243,12,INDIANAPOLIS COLTS,IND,177,323,233.4,31.4
244,12,JAMAAL WILLIAMS,NO,168,298,243.6,24.6
245,12,JONATHAN MINGO,CAR,164,345,241.4,32.3
246,12,AUDRIC ESTIME,DEN,176,326,244.9,26.7
247,12,TREYLON BURKS,TEN,183,345,242.8,31.3
248,12,JATAVION SANDERS,CAR,137,305,245.0,28.6
249,12,ODELL BECKHAM,MIA,162,304,244.1,28.5
250,12,CARTAVIOUS BIGSBY,JAC,161,337,252.7,34.7
251,12,CAIRO SANTOS,CHI,180,332,246.7,20.1
252,12,JUSTICE HILL,BAL,161,322,252.7,26.8
253,12,JASON MYERS,SEA,190,322,249.4,19.3
254,12,DAWSON KNOX,BUF,172,308,259.5,24.2
255,12,JUSTIN FIELDS,PIT,60,338,263.9,51.2
256,12,TYRONE TRACY,NYG,155,335,244.7,44.5
257,12,GERALD EVERETT,CHI,143,368,256.5,36.8
