PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,TGT,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
213,12,DEANDRE CARTER,CHI,9.7,7,4,39,0,3,18,0
214,12,XAVIER WEAVER,ARI,0,0,0,0,0,0,0,0
215,12,ANTOINE GREEN,DET,1.2,2,1,2,0,0,0,0
216,12,MARQUEZ CALLAWAY,PIT,0,0,0,0,0,0,0,0
217,12,ISAIAH WILLIAMS,DET,0,0,0,0,0,0,0,0
218,12,TYLER DAVIS,FA,0,0,0,0,0,0,0,0
219,12,ZACH PASCAL,ARI,5.9,15,4,19,0,0,0,0
220,12,MIKE STRACHAN,CAR,5.5,3,1,45,0,0,0,0
221,12,KEITH KIRKWOOD,BAL,14.7,9,5,37,1,0,0,0
222,12,BEN SKOWRONEK,HOU,21.5,12,8,66,1,2,9,0
223,12,KJ HAMLER,BUF,0,0,0,0,0,0,0,0
224,12,DJ MONTGOMERY,IND,14.6,8,3,56,1,0,0,0
225,12,JULIO JONES,FA,36.4,19,11,74,3,0,0,0
226,12,RANDALL COBB,FA,16.9,17,5,39,1,0,0,0
227,12,TRISHTON JACKSON,MIN,4.9,4,2,9,0,0,0,0
228,12,JR RUSSELL,FA,0,0,0,0,0,0,0,0
229,12,DELEON ESKRIDGE,SEA,0.5,1,0,0,0,2,5,0
230,12,BRITAIN COVEY,PHI,8.2,6,4,42,0,0,0,0
231,12,JOSHUA CEPHUS,FA,0,0,0,0,0,0,0,0
232,12,MILES BOYKIN,NYG,4.7,4,3,17,0,0,0,0
233,12,ROBBIE CHOSEN,FA,22.6,6,4,126,1,0,0,0
234,12,TIM JONES,JAC,19.3,18,11,83,0,0,0,0
235,12,TYLAN WALLACE,BAL,8.1,2,1,11,0,0,0,0
236,12,ELIJAH COOKS,JAC,6.8,4,3,38,0,0,0,0
237,12,AUSTIN TRAMMELL,JAC,4.9,7,4,29,0,0,0,0
238,12,ISAIAH WILLIAMS,FA,0,0,0,0,0,0,0,0
239,13,LIDEATRICK GRIFFIN,LV,0,0,0,0,0,0,0,0
240,13,DEVRON HARPER,FA,0,0,0,0,0,0,0,0
241,13,JEFF FOREMAN,LV,0,0,0,0,0,0,0,0
242,13,TRENT TAYLOR,SF,-2.2,2,0,0,0,1,-2,0
243,13,JUWANN WINFREE,IND,0,1,0,0,0,0,0,0
244,13,BYRON PRINGLE,FA,28.1,22,14,161,0,0,0,0
245,13,TEJHAUN PALMER,ARI,0,0,0,0,0,0,0,0
246,13,MALIK TAYLOR,NYJ,3.3,4,2,13,0,0,0,0
247,13,JUSTIN SHORTER,BUF,0,0,0,0,0,0,0,0
248,13,MASON TIPTON,NO,0,0,0,0,0,0,0,0
249,13,RAMEL KEYTON,LV,0,0,0,0,0,0,0,0
250,13,STANLEY MORGAN,NO,0,0,0,0,0,0,0,0
251,13,CODY THOMPSON,TB,2,1,1,10,0,0,0,0
252,13,WILLIE SNEAD,FA,3.4,3,2,14,0,0,0,0
253,13,ANDY ISABELLA,BUF,0,0,0,0,0,0,0,0
254,13,TY JAMES,MIN,0,0,0,0,0,0,0,0
255,13,IRVIN CHARLES,NYJ,0,1,0,0,0,0,0,0
256,13,BJ JOHNSON,FA,0,0,0,0,0,0,0,0
257,13,COLTON DOWELL,TEN,1.3,2,1,3,0,0,0,0
258,13,DAMIERE BYRD,WAS,0,2,0,0,0,0,0,0
259,13,LANCE MCCUTCHEON,NYJ,0,0,0,0,0,0,0,0
260,13,PHILLIP DORSETT,DEN,0,3,0,0,0,0,0,0
261,13,BEN COTTON,FA,0,0,0,0,0,0,0,0
262,13,JAXON JANKE,HOU,0,0,0,0,0,0,0,0
263,13,LAQUON TREADWELL,FA,2.6,3,1,16,0,0,0,0
264,13,DANIEL ARIAS,ARI,0,0,0,0,0,0,0,0
265,13,DANNY GRAY,SF,0,0,0,0,0,0,0,0
266,13,DAX MILNE,WAS,0,0,0,0,0,0,0,0
267,13,JASON GESSER,FA,0,0,0,0,0,0,0,0
268,13,MARCUS ROSEMY-JACKSAINT,FA,0,0,0,0,0,0,0,0
269,13,MICHAEL AVILA,FA,0,0,0,0,0,0,0,0
270,13,DARION CLARK,FA,0,0,0,0,0,0,0,0
271,13,DAVIS ALEXANDER,FA,0,0,0,0,0,0,0,0
