PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
19,3,DRAKE LONDON,ATL,10.9,0.0,0.0,4.3,56.6,0.1,0.0,0.0,0.0
20,4,MICHAEL PITTMAN,IND,15.6,0.0,0.0,6.8,72.0,0.3,0.0,0.0,0.0
21,4,BRANDON AIYUK,SF,15.6,0.0,0.0,4.7,83.9,0.4,0.0,0.0,0.0
22,4,TRAVIS ETIENNE,JAC,16.6,0.0,0.0,3.4,28.0,0.1,15.7,59.3,0.6
23,4,JAYLEN WADDLE,MIA,14.2,0.0,0.0,5.1,72.4,0.3,0.2,0.9,0.0
24,4,JALEN HURTS,PHI,21.9,226.9,1.4,0.0,0.0,0.0,9.2,35.6,0.9
25,4,MIKE EVANS,TB,16.6,0.0,0.0,4.6,73.8,0.8,0.0,0.0,0.0
26,4,SAM LAPORTA,DET,14.1,0.0,0.0,5.1,52.3,0.6,0.1,0.2,0.0
27,4,NICO COLLINS,HOU,17.4,0.0,0.0,5.3,86.5,0.5,0.1,0.5,0.0
28,4,KYREN WILLIAMS,LAR,21.3,0.0,0.0,2.7,17.2,0.3,19.0,95.3,1.0
29,4,TRAVIS KELCE,KC,14.6,0.0,0.0,6.2,65.6,0.3,0.0,0.0,0.0
30,4,PATRICK MAHOMES,KC,18.4,261.4,1.7,0.0,0.0,0.0,4.7,24.3,0.0
31,4,LAMAR JACKSON,BAL,21.1,229.9,1.5,0.0,0.0,0.0,9.3,51.3,0.3
32,4,DJ MOORE,CHI,16.9,0.0,0.0,5.6,80.2,0.5,0.2,1.2,0.1
33,5,COOPER KUPP,LAR,13.7,0.0,0.0,4.9,61.4,0.4,0.1,-0.3,0.0
34,5,ISIAH PACHECO,KC,15.3,0.0,0.0,3.1,17.4,0.1,14.6,66.8,0.5
35,5,DEVON ACHANE,MIA,17.3,0.0,0.0,2.5,17.9,0.3,9.4,72.7,0.7
36,5,DEEBO SAMUEL,SF,16.2,0.0,0.0,4.0,59.5,0.5,2.5,15.0,0.3
37,5,DK METCALF,SEA,14.1,0.0,0.0,4.1,69.6,0.5,0.0,0.0,0.0
38,5,DEVONTA SMITH,PHI,14.2,0.0,0.0,5.1,66.6,0.4,0.0,0.0,0.0
39,5,DERRICK HENRY,BAL,14.5,0.0,0.0,1.6,12.6,0.0,16.5,68.6,0.7
40,5,RACHAAD WHITE,TB,15.8,0.0,0.0,3.8,32.3,0.2,16.0,58.2,0.4
41,5,AMARI COOPER,CLE,15.1,0.0,0.0,4.8,83.3,0.3,0.0,0.0,0.0
42,5,STEFON DIGGS,HOU,16.1,0.0,0.0,6.3,69.6,0.5,0.1,0.3,0.0
43,5,MALIK NABERS,NYG,0,0,0,0,0,0,0,0,0
44,6,JAMES COOK,BUF,13.7,0.0,0.0,2.6,26.2,0.2,13.9,66.0,0.1
45,6,ALVIN KAMARA,NO,17.9,0.0,0.0,5.8,35.8,0.1,13.8,53.4,0.4
46,6,ANTHONY RICHARDSON,IND,18.4,144.3,0.8,0.0,0.0,0.0,6.3,34.0,1.0
47,6,JOSH JACOBS,GB,13.9,0.0,0.0,2.8,22.8,0.0,17.9,61.9,0.5
48,6,JOE MIXON,HOU,15.7,0.0,0.0,3.1,22.1,0.2,15.1,60.8,0.5
49,6,ZAY FLOWERS,BAL,12.9,0.0,0.0,4.8,53.6,0.3,0.5,3.5,0.1
50,6,CJ STROUD,HOU,18.7,273.9,1.5,0.0,0.0,0.0,2.6,11.1,0.2
