PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS
75,8,DEUCE VAUGHN,DAL,2.1,3.3,5.7,0.0,1.0,1.0,5.7,0.0
76,8,EVAN HULL,IND,1.7,1.0,1.0,0.0,1.0,1.0,6.0,0.0
77,8,DYLAN LAUBE,LV,0,0,0,0,0,0,0,0
78,8,MICHAEL CARTER,ARI,3.9,2.0,12.5,0.0,2.1,1.6,6.7,0.1
79,8,JEFFERY WILSON,MIA,4.1,4.1,18.8,0.0,1.7,1.4,8.5,0.0
80,8,CHRISTOPHER RODRIGUEZ,WAS,3.4,4.6,22.5,0.2,0.2,0.2,1.1,0.0
81,8,ISAAC GUERENDO,SF,0,0,0,0,0,0,0,0
82,8,TREY SERMON,IND,1.7,2.9,13.3,0.0,0.5,0.3,1.1,0.0
83,8,JORDAN MASON,SF,2.8,2.5,12.9,0.2,0.3,0.2,1.9,0.0
84,8,ISRAEL ABANIKANDA,NYJ,2.3,3.1,10.0,0.0,1.6,1.0,6.1,0.0
85,8,DERNEST JOHNSON,JAC,2.0,2.4,6.4,0.0,0.7,0.6,8.2,0.0
86,8,CHASE EDMONDS,TB,3.1,3.8,13.5,0.0,1.3,1.1,6.2,0.0
87,8,PIERRE STRONG,CLE,2.5,3.7,17.1,0.1,0.5,0.3,2.8,0.0
88,8,CORDARRELLE PATTERSON,PIT,2.6,3.6,12.9,0.0,0.9,0.6,2.7,0.1
