PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
35,5,DIONTAE JOHNSON,CAR,11.7,6.7,3.9,55.2,0.4,0.0,0.0,0.0
36,5,RASHEE RICE,KC,13.3,6.4,4.9,58.6,0.4,0.1,-0.2,0.0
37,5,JAYDEN REED,GB,13.6,5.9,4.0,49.6,0.5,0.7,7.4,0.1
38,5,DEANDRE HOPKINS,TEN,13.2,8.1,4.4,62.2,0.4,0.1,0.5,0.0
39,6,MARQUISE BROWN,KC,9.6,7.2,3.6,41.0,0.3,0.1,1.6,0.0
40,6,JORDAN ADDISON,MIN,13.0,6.4,4.1,53.6,0.6,0.1,0.1,0.0
41,6,JAXON SMITH-NJIGBA,SEA,8.8,5.5,3.7,36.9,0.2,0.0,0.0,0.0
42,6,COURTLAND SUTTON,DEN,11.9,5.6,3.7,48.3,0.6,0.0,0.0,0.0
43,6,LADD MCCONKEY,LAC,0,0,0,0,0,0,0,0
44,6,TYLER LOCKETT,SEA,11.9,7.2,4.6,52.6,0.3,0.0,0.0,0.0
45,6,CHRISTIAN WATSON,GB,11.3,5.9,3.1,46.9,0.6,0.4,1.2,0.0
46,6,ROME ODUNZE,CHI,0,0,0,0,0,0,0,0
47,6,XAVIER WORTHY,KC,0,0,0,0,0,0,0,0
48,6,JAKOBI MEYERS,LV,13.7,6.6,4.4,50.4,0.5,0.3,1.5,0.1
49,6,BRIAN THOMAS,JAC,0,0,0,0,0,0,0,0
50,6,KEON COLEMAN,BUF,0,0,0,0,0,0,0,0
51,7,CURTIS SAMUEL,BUF,9.8,5.7,3.9,38.3,0.3,0.4,2.4,0.1
52,7,JAMESON WILLIAMS,DET,6.7,3.5,2.0,29.5,0.2,0.3,2.4,0.1
53,7,MIKE WILLIAMS,NYJ,16.7,8.7,6.3,83.0,0.3,0.3,1.0,0.0
54,7,BRANDIN COOKS,DAL,10.8,5.1,3.4,41.1,0.5,0.3,2.2,0.0
55,7,JOSH PALMER,LAC,9.7,5.5,3.5,52.8,0.2,0.1,0.5,0.0
56,7,JOSH DOWNS,IND,9.2,5.8,4.0,45.4,0.1,0.0,0.0,0.0
57,7,ROMEO DOUBS,GB,10.3,5.6,3.5,39.6,0.5,0.0,0.0,0.0
58,7,RASHID SHAHEED,NO,9.7,4.7,2.9,44.9,0.3,0.4,2.3,0.0
59,7,JERRY JEUDY,CLE,8.9,5.4,3.4,47.4,0.1,0.0,0.0,0.0
60,7,ADAM THIELEN,CAR,13.6,8.1,6.1,59.6,0.2,0.1,0.4,0.0
61,7,KHALIL SHAKIR,BUF,6.7,2.6,2.3,35.9,0.1,0.1,0.6,0.0
62,7,JAHAN DOTSON,WAS,7.3,4.9,2.9,30.5,0.2,0.0,0.0,0.0
63,7,GABRIEL DAVIS,JAC,9.5,4.8,2.6,43.9,0.4,0.1,-0.1,0.0
