PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
TERRACE MARSHALL,CAR,340,390,368.8,20.8
TIP REIMAN,ARI,326,391,374.2,22.8
ROBERT TONYAN,MIN,267,389,328.0,61.0
MARCUS MARIOTA,WAS,301,358,329.5,28.5
DERIUS DAVIS,LAC,325,370,354.3,20.8
DILLON JOHNSON,TEN,296,392,356.0,42.7
CHRIS EVANS,CIN,288,393,356.3,48.4
JORDAN WHITTINGTON,LAR,317,390,358.7,30.7
BROCK WRIGHT,DET,344,394,368.8,19.8
MICHAEL WILEY,WAS,357,393,374.8,13.5
CASEY WASHINGTON,ATL,306,395,359.7,38.6
DAIJUN EDWARDS,PIT,337,388,364.3,21.0
DARRELL HENDERSON,FA,311,386,348.5,37.5
TRENT SHERFIELD,MIN,373,388,380.4,5.2
KEILAN ROBINSON,JAC,365,392,380.6,9.0
JORDAN AKINS,CLE,348,389,372.7,17.8
GARY BRIGHTWELL,FA,336,386,361.0,25.0
CHRISTOPHER BROOKS,MIA,355,368,361.5,6.5
MO ALIE-COX,IND,371,376,373.7,2.0
MYCOLE PRUITT,PIT,348,381,364.5,16.5
RYAN TANNEHILL,FA,334,397,365.5,31.5
EMANI BAILEY,KC,357,392,377.0,14.7
HARRISON BRYANT,LV,344,394,369.0,25.0
PHARAOH BROWN,SEA,357,381,369.0,12.0
LUCAS KRULL,DEN,374,376,375.0,1.0
TREY LANCE,DAL,385,387,386.3,0.9
TYROD TAYLOR,NYJ,367,397,382.0,15.0
