PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,PASS_YDS,PASS_TDS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
195,11,TAYSOM HILL,NO,143.5,0,0,33,291,2,81,401,4
196,11,HOUSTON TEXANS,HOU,131,0,0,0,0,0,0,0,0
197,11,NEW ORLEANS SAINTS,NO,143,0,0,0,0,0,0,0,0
198,11,BEN SINNOTT,WAS,0,0,0,0,0,0,0,0,0
199,11,TROY FRANKLIN,DEN,0,0,0,0,0,0,0,0,0
200,11,JASON SANDERS,MIA,146,0,0,0,0,0,0,0,0
201,11,ROMAN WILSON,PIT,0,0,0,0,0,0,0,0,0
202,11,ELIJAH MOORE,CLE,132.1,0,0,59,640,2,9,11,0
203,11,RICKY PEARSALL,SF,0,0,0,0,0,0,0,0,0
204,11,DEMARCUS ROBINSON,LAR,87.4,0,0,26,371,4,1,23,0
205,11,DAMEON PIERCE,HOU,82.7,0,0,13,101,0,145,416,2
206,11,ISAIAH LIKELY,BAL,101.1,0,0,30,411,5,0,0,0
207,11,MIAMI DOLPHINS,MIA,152,0,0,0,0,0,0,0,0
208,11,TYLER BASS,BUF,133,0,0,0,0,0,0,0,0
209,11,JAKE ELLIOTT,PHI,156,0,0,0,0,0,0,0,0
210,11,KAIMI FAIRBAIRN,HOU,114,0,0,0,0,0,0,0,0
211,11,JAKE MOODY,SF,131,0,0,0,0,0,0,0,0
212,11,JAVON BAKER,NE,0,0,0,0,0,0,0,0,0
213,11,CHICAGO BEARS,CHI,120,0,0,0,0,0,0,0,0
214,11,TUCKER KRAFT,GB,78.5,0,0,31,355,2,0,0,0
215,11,MARKEISE IRVING,TB,0,0,0,0,0,0,0,0,0
216,11,YOUNGHOE KOO,ATL,138,0,0,0,0,0,0,0,0
217,11,KIMANI VIDAL,LAC,0,0,0,0,0,0,0,0,0
218,11,DARIUS SLAYTON,NYG,151,0,0,50,770,4,0,0,0
219,11,JALIN HYATT,NYG,60.3,0,0,23,373,0,0,0,0
220,11,JJ MCCARTHY,MIN,0,0,0,0,0,0,0,0,0
221,11,TYLER BOYD,TEN,145.8,0,0,67,667,2,2,11,0
222,11,EVAN MCPHERSON,CIN,140,0,0,0,0,0,0,0,0
223,11,KENNY GAINWELL,PHI,97.4,0,0,30,183,0,84,364,2
224,11,BO NIX,DEN,0,0,0,0,0,0,0,0,0
225,11,MIKE GESICKI,CIN,65.4,0,0,29,244,2,0,0,0
226,11,AUDRIC ESTIME,DEN,0,0,0,0,0,0,0,0,0
227,11,CLYDE EDWARDS-HELAIRE,KC,70.1,0,0,17,188,1,70,223,1
228,11,MILES SANDERS,CAR,87.6,0,0,27,154,0,129,432,1
229,11,ALEXANDER MATTISON,LV,133.2,0,0,30,192,3,180,700,0
230,11,DONTA FOREMAN,CLE,91.2,0,0,11,77,1,109,425,4
231,12,AJ DILLON,GB,117.6,0,0,22,223,0,178,613,2
232,12,ZAY JONES,ARI,78.1,0,0,34,321,2,0,0,0
233,12,KEATON MITCHELL,BAL,69.9,0,0,9,93,0,47,396,2
234,12,MALACHI CORLEY,NYJ,0,0,0,0,0,0,0,0,0
235,12,BRAELON ALLEN,NYJ,0,0,0,0,0,0,0,0,0
236,12,MATT GAY,IND,157,0,0,0,0,0,0,0,0
237,12,DRAKE MAYE,NE,0,0,0,0,0,0,0,0,0
238,12,KENDRICK BOURNE,NE,100,0,0,37,406,4,1,4,0
239,12,CAMERON DICKER,LAC,151,0,0,0,0,0,0,0,0
240,12,TYRONE TRACY,NYG,0,0,0,0,0,0,0,0,0
241,12,MICHAEL MAYER,LV,71.4,0,0,27,304,2,0,0,0
242,12,DUSTIN HOPKINS,CLE,149,0,0,0,0,0,0,0,0
243,12,MINNESOTA VIKINGS,MIN,124,0,0,0,0,0,0,0,0
244,12,JUSTICE HILL,BAL,109.3,0,0,28,206,1,84,387,3
245,12,RONDALE MOORE,ATL,105,0,0,40,352,1,28,178,1
246,12,ODELL BECKHAM,MIA,107.5,0,0,35,565,3,0,0,0
247,12,JELANI WOODS,IND,0,0,0,0,0,0,0,0,0
248,12,INDIANAPOLIS COLTS,IND,139,0,0,0,0,0,0,0,0
249,12,CAIRO SANTOS,CHI,158,0,0,0,0,0,0,0,0
250,12,JONATHAN MINGO,CAR,84.8,0,0,43,418,0,0,0,0
251,12,JAMAAL WILLIAMS,NO,60.8,0,0,18,62,0,106,306,1
252,12,JALEN MCMILLAN,TB,0,0,0,0,0,0,0,0,0
253,12,DJ CHARK,LAC,115.5,0,0,35,525,5,0,0,0
254,12,JASON MYERS,SEA,158,0,0,0,0,0,0,0,0
255,12,TREYLON BURKS,TEN,39.9,0,0,16,221,0,5,18,0
256,12,JUSTIN FIELDS,PIT,239.2,2562,16,0,0,0,124,657,4
257,12,JATAVION SANDERS,CAR,0,0,0,0,0,0,0,0,0
258,12,AT PERRY,NO,60.6,0,0,12,246,4,0,0,0
259,12,DAWSON KNOX,BUF,54.6,0,0,22,186,2,0,0,0
260,12,SAMAJE PERINE,DEN,121.3,0,0,50,455,0,53,238,1
261,12,CARTAVIOUS BIGSBY,JAC,22.8,0,0,1,6,0,50,132,2
262,12,DETROIT LIONS,DET,107,0,0,0,0,0,0,0,0
263,12,GERALD EVERETT,CHI,111.1,0,0,51,411,3,3,10,0
264,12,SAM DARNOLD,MIN,24.4,297,2,0,0,0,21,15,1
265,12,TREY PALMER,TB,95.7,0,0,39,385,3,3,22,0
266,12,JONNU SMITH,MIA,124.2,0,0,50,582,3,1,0,0
267,12,DEVONTEZ WALKER,BAL,0,0,0,0,0,0,0,0,0
268,12,ANDREI IOSIVAS,CIN,50.6,0,0,15,116,4,0,0,0
269,12,WILL SHIPLEY,PHI,0,0,0,0,0,0,0,0,0
270,12,CEDRIC TILLMAN,CLE,44.2,0,0,21,224,0,1,8,0
271,12,DANIEL CARLSON,LV,121,0,0,0,0,0,0,0,0
272,12,GARDNER MINSHEW,LV,205.2,3305,15,0,0,0,34,100,3
273,12,ALEC PIERCE,IND,95.4,0,0,32,514,2,0,0,0
274,12,JOSH REYNOLDS,DEN,128.8,0,0,40,608,5,0,0,0
275,12,JACKSONVILLE JAGUARS,JAC,120,0,0,0,0,0,0,0,0
276,12,CINCINNATI BENGALS,CIN,118,0,0,0,0,0,0,0,0
277,12,ZACH ERTZ,WAS,51.7,0,0,27,187,1,0,0,0
278,12,KJ OSBORN,NE,120,0,0,48,540,3,0,0,0
279,12,DENVER BRONCOS,DEN,118,0,0,0,0,0,0,0,0
280,12,TYLER HIGBEE,LAR,108.5,0,0,47,495,2,0,0,0
281,13,DYLAN LAUBE,LV,0,0,0,0,0,0,0,0,0
282,13,EVAN HULL,IND,1.7,0,0,1,6,0,1,1,0
283,13,GREG DULCICH,DEN,5.5,0,0,3,25,0,0,0,0
284,13,LUKE MCCAFFREY,WAS,0,0,0,0,0,0,0,0,0
285,13,TREY SERMON,IND,20.3,0,0,3,13,0,35,160,0
286,13,BLAKE GRUPE,NO,150,0,0,0,0,0,0,0,0
287,13,MICHAEL CARTER,ARI,58.8,0,0,24,101,1,30,187,0
288,13,DEUCE VAUGHN,DAL,15,0,0,7,40,0,23,40,0
289,13,AIDAN OCONNELL,LV,132.8,2218,12,0,0,0,17,11,1
290,13,JORDAN MASON,SF,44.7,0,0,3,31,0,40,206,3
291,13,NOAH BROWN,HOU,101.6,0,0,33,567,2,1,-1,0
292,13,KADARIUS TONEY,KC,53,0,0,27,169,1,11,31,0
293,13,ISAAC GUERENDO,SF,0,0,0,0,0,0,0,0,0
294,13,DERNEST JOHNSON,JAC,34.8,0,0,10,140,0,41,108,0
295,13,CORDARRELLE PATTERSON,PIT,36.9,0,0,9,38,1,50,181,0
