RK,TIERS,PLAYER NAME,TEAM,FAN PTS
355,14,TIM PATRICK,DEN,0
356,14,ROYCE FREEMAN,DAL,45.2
357,14,HUNTER RENFROW,FA,23.5
358,14,CALVIN AUSTIN,PIT,35.7
359,14,TANNER HUDSON,CIN,41.2
360,14,KYLEN GRANSON,IND,43
361,14,CRAIG REYNOLDS,DET,24.6
362,14,ISAIAH DAVIS,NYJ,0
363,14,TAMPA BAY BUCCANEERS,TB,133
364,14,ERICK ALL,CIN,0
365,14,JUSTIN WATSON,KC,62
366,14,LATAVIUS MURRAY,FA,65.9
367,14,BREVIN JORDAN,HOU,33.9
368,14,KEAONTAY INGRAM,KC,10
369,14,JEREMY RUCKERT,NYJ,15.1
370,14,TY JOHNSON,BUF,25.4
371,14,LOS ANGELES RAMS,LAR,83
372,14,MICHAEL BADGLEY,DET,26
373,14,WILL DISSLY,LAC,23.2
374,14,SEATTLE SEAHAWKS,SEA,109
375,14,JOE FLACCO,IND,108.8
376,14,JAHEIM BELL,NE,0
377,14,NEW YORK GIANTS,NYG,131
378,14,JOHNNY WILSON,PHI,0
379,14,CADE STOVER,HOU,0
380,14,JAMEIS WINSTON,CLE,15
381,14,CHASE MCLAUGHLIN,TB,136
382,14,CEDRICK WILSON,NO,47.6
383,14,JAWHAR JORDAN,HOU,0
384,14,GREG JOSEPH,GB,119
385,14,PARKER WASHINGTON,JAC,23.2
386,14,WASHINGTON COMMANDERS,WAS,64
387,14,PARRIS CAMPBELL,PHI,10.4
388,14,CAROLINA PANTHERS,CAR,71
389,14,JARRETT STIDHAM,DEN,27.6
390,15,TRENTON IRWIN,CIN,37.6
391,15,AINIAS SMITH,PHI,0
392,15,ATLANTA FALCONS,ATL,95
393,15,GRAHAM GANO,NYG,50
394,15,BRANDON POWELL,MIN,38.1
395,15,LOS ANGELES CHARGERS,LAC,112
396,15,MATT PRATER,ARI,130
397,15,TRAYVEON WILLIAMS,CIN,7.9
398,15,XAVIER GIPSON,NYJ,37.7
399,15,JOSH OLIVER,MIN,31.3
400,15,FRANK GORE,BUF,0
401,15,CHRIS BOSWELL,PIT,133
402,15,JOHN MUNDT,MIN,23.2
